file,n_before,n_after_artifacts,removed_page,removed_rank0,removed_dupe_1_9,removed_total,rank_final_corrupted_after_clean,n_unique_rank_final_after_clean
slpublic_sxxp_20151001.csv,1074,31,11,203,829,1043,1,9
slpublic_sxxp_20151101.csv,1071,936,11,100,24,135,0,914
slpublic_sxxp_20160101.csv,1062,32,12,177,841,1030,1,10
slpublic_sxxp_20160201.csv,1061,932,12,97,20,129,0,910
slpublic_sxxp_20160401.csv,1053,31,12,185,825,1022,1,9
slpublic_sxxp_20160501.csv,1051,917,12,94,28,134,0,895
slpublic_sxxp_20160701.csv,1072,31,12,203,826,1041,1,9
slpublic_sxxp_20160801.csv,1072,924,12,113,23,148,0,901
slpublic_sxxp_20161001.csv,1050,32,12,192,814,1018,1,9
slpublic_sxxp_20161101.csv,1046,924,12,89,21,122,0,901
slpublic_sxxp_20170101.csv,1067,32,12,185,838,1035,1,9
slpublic_sxxp_20170201.csv,1067,947,11,81,28,120,0,924
slpublic_sxxp_20170501.csv,1076,960,11,77,28,116,0,937
slpublic_sxxp_20170701.csv,1090,32,11,168,879,1058,1,9
slpublic_sxxp_20170801.csv,1088,968,11,85,24,120,0,945
slpublic_sxxp_20171001.csv,1115,34,11,199,871,1081,1,9
slpublic_sxxp_20171101.csv,1112,971,11,94,36,141,0,946
slpublic_sxxp_20180101.csv,1119,32,11,179,897,1087,1,9
slpublic_sxxp_20180201.csv,1115,996,11,82,26,119,0,973
slpublic_sxxp_20180401.csv,1165,31,12,189,933,1134,1,9
slpublic_sxxp_20180501.csv,1161,1028,12,93,28,133,0,1006
slpublic_sxxp_20180701.csv,1161,33,11,174,943,1128,1,9
slpublic_sxxp_20181001.csv,1235,33,14,253,935,1202,1,9
slpublic_sxxp_20181101.csv,1231,1033,14,150,34,198,0,1009
slpublic_sxxp_20190101.csv,1232,33,14,249,936,1199,1,9
slpublic_sxxp_20190201.csv,1227,1022,14,156,35,205,0,998
slpublic_sxxp_20190401.csv,1463,43,16,401,1003,1420,1,9
slpublic_sxxp_20190501.csv,1458,1119,14,282,43,339,0,1085
slpublic_sxxp_20190701.csv,1464,39,14,422,989,1425,1,9
slpublic_sxxp_20190801.csv,1460,1105,16,305,34,355,0,1075
slpublic_sxxp_20191001.csv,1446,39,14,414,979,1407,1,9
slpublic_sxxp_20191101.csv,1444,1070,16,302,56,374,0,1039
slpublic_sxxp_20200101.csv,1435,40,16,385,994,1395,1,9
slpublic_sxxp_20200201.csv,1431,1104,14,259,54,327,0,1073
slpublic_sxxp_20200401.csv,1447,40,14,340,1053,1407,1,9
slpublic_sxxp_20200501.csv,1442,1177,14,232,19,265,0,1147
slpublic_sxxp_20200701.csv,1441,39,14,376,1012,1402,1,9
slpublic_sxxp_20200801.csv,1439,1111,14,273,41,328,0,1081
slpublic_sxxp_20201001.csv,1447,1062,0,282,103,385,0,1030
slpublic_sxxp_20201101.csv,1444,1084,0,316,44,360,0,1052
slpublic_sxxp_20210101.csv,1436,63,0,262,1111,1373,1,26
slpublic_sxxp_20210201.csv,1433,1136,0,247,50,297,0,1104
slpublic_sxxp_20210301.csv,1477,1141,0,243,93,336,0,1106
slpublic_sxxp_20210401.csv,1474,1176,0,236,62,298,0,1141
slpublic_sxxp_20210501.csv,1471,1185,0,243,43,286,0,1150
slpublic_sxxp_20210601.csv,1522,1187,0,243,92,335,0,1149
slpublic_sxxp_20210701.csv,1514,1215,0,236,63,299,0,1179
slpublic_sxxp_20210801.csv,1510,1198,0,252,60,312,0,1162
slpublic_sxxp_20210901.csv,1823,1179,0,297,347,644,0,1132
slpublic_sxxp_20211001.csv,1825,1281,0,303,241,544,0,1232
slpublic_sxxp_20211101.csv,1817,1283,0,456,78,534,0,1234
slpublic_sxxp_20211201.csv,1822,1277,0,421,124,545,0,1231
slpublic_sxxp_20220101.csv,1818,1314,0,419,85,504,0,1268
slpublic_sxxp_20220201.csv,1813,1308,0,450,55,505,0,1262
slpublic_sxxp_20220301.csv,1859,1296,0,452,111,563,0,1249
slpublic_sxxp_20220401.csv,1856,1316,0,444,96,540,0,1270
slpublic_sxxp_20220501.csv,1849,1334,0,468,47,515,0,1289
slpublic_sxxp_20220601.csv,1884,1316,0,473,95,568,0,1268
slpublic_sxxp_20220701.csv,1879,1285,0,495,99,594,0,1238
slpublic_sxxp_20220801.csv,1874,1241,0,553,80,633,0,1194
slpublic_sxxp_20220901.csv,1905,1194,0,600,111,711,0,1144
slpublic_sxxp_20221001.csv,1895,1167,0,640,88,728,0,1117
slpublic_sxxp_20221101.csv,1888,1163,0,668,57,725,0,1113
slpublic_sxxp_20221201.csv,1896,1164,0,647,85,732,0,1114
slpublic_sxxp_20230101.csv,1890,1178,0,643,69,712,0,1128
slpublic_sxxp_20230201.csv,1886,1170,0,658,58,716,0,1120
slpublic_sxxp_20230301.csv,1901,1174,0,646,81,727,0,1122
slpublic_sxxp_20230401.csv,1899,1192,0,628,79,707,0,1140
slpublic_sxxp_20230501.csv,1899,1204,0,636,59,695,0,1152
slpublic_sxxp_20230601.csv,1914,1191,0,641,82,723,0,1140
slpublic_sxxp_20230701.csv,1912,1169,0,652,91,743,0,1118
slpublic_sxxp_20230801.csv,1908,1147,0,696,65,761,0,1096
slpublic_sxxp_20230901.csv,1911,1110,0,724,77,801,0,1058
slpublic_sxxp_20231001.csv,1909,1091,0,739,79,818,0,1039
slpublic_sxxp_20231101.csv,1853,1853,0,0,0,0,0,1074
slpublic_sxxp_20231205.csv,1859,1859,0,0,0,0,0,1096
slpublic_sxxp_20240102.csv,1858,1858,0,0,0,0,0,1126
slpublic_sxxp_20240201.csv,1854,1854,0,0,0,0,0,1130
slpublic_sxxp_20240301.csv,1862,1862,0,0,0,0,0,1141
slpublic_sxxp_20240402.csv,1861,1861,0,0,0,0,0,1156
slpublic_sxxp_20240501.csv,1859,1859,0,0,0,0,0,1173
slpublic_sxxp_20240603.csv,1870,1870,0,0,0,0,0,1183
slpublic_sxxp_20240701.csv,1869,1869,0,0,0,0,0,1164
slpublic_sxxp_20240801.csv,1863,1863,0,0,0,0,0,1134
slpublic_sxxp_20240902.csv,1870,1870,0,0,0,0,0,1087
slpublic_sxxp_20241001.csv,1866,1866,0,0,0,0,0,1085
slpublic_sxxp_20241101.csv,1854,1854,0,0,0,0,0,1076
slpublic_sxxp_20241202.csv,1848,1848,0,0,0,0,0,1106
slpublic_sxxp_20250102.csv,1846,1846,0,0,0,0,0,1119
slpublic_sxxp_20250203.csv,1842,1842,0,0,0,0,0,1126
slpublic_sxxp_20250303.csv,1856,1856,0,0,0,0,0,1154
slpublic_sxxp_20250401.csv,1850,1850,0,0,0,0,0,1168
slpublic_sxxp_20250501.csv,1845,1845,0,0,0,0,0,1191
slpublic_sxxp_20250601.csv,1854,1854,0,0,0,0,0,1208
slpublic_sxxp_20250701.csv,1849,1849,0,0,0,0,0,1201
slpublic_sxxp_20250801.csv,1840,1840,0,0,0,0,0,1181
slpublic_sxxp_20250901.csv,1853,1853,0,0,0,0,0,1180
slpublic_sxxp_20251001.csv,1854,1854,0,0,0,0,0,1180
slpublic_sxxp_20251101.csv,1846,1846,0,0,0,0,0,1183
slpublic_sxxp_20251201.csv,1815,1815,0,0,0,0,0,1217
slpublic_sxxp_20260102.csv,1806,1806,0,0,0,0,0,1210
slpublic_sxxp_20260202.csv,1804,1804,0,0,0,0,0,1218
