iteration,beta_placebo,p_value
0,0.006792086352605435,0.8880458968816554
1,0.006173122306252845,0.9008173537551976
2,-0.026134260448544652,0.6011963007565719
3,0.005479147142539214,0.9119733969350943
4,0.012016011593083504,0.8120541235169285
5,-0.009171861765396581,0.8514142522075419
6,0.010824741094622177,0.8306556754259142
7,0.008654178441819819,0.8624754303596227
8,0.026313683120774596,0.594851289185538
9,0.03337967542020494,0.49335660111263646
10,-0.006643561745955561,0.8896224373828505
11,-0.033912345162456795,0.49628534060089513
12,0.016871080420918033,0.7370608300977151
13,0.056245694841899875,0.25601568877935055
14,-0.014774227777871771,0.7666880879819482
15,0.0657910283978672,0.18680486425770804
16,0.002194910877902318,0.9653769120048774
17,0.00988208918311193,0.8430753818522121
18,0.04403043844404099,0.37166027036253757
19,0.07112998450103926,0.14371065718673814
20,0.04114914582945104,0.38586586217126606
21,0.004785087948664054,0.9231516725555342
22,-0.0011284446047887878,0.9815542571450262
23,0.0321759968007485,0.5034099792248883
24,-0.00023838071592997465,0.9961770603503508
25,-0.03318040116553517,0.49653590690812566
26,0.00036828002790771565,0.9941207175057387
27,0.017037385240106267,0.7339200969425521
28,0.019073365197970468,0.7024610572268202
29,0.022255580483887854,0.6565328438808828
30,0.0128930444960159,0.7888370950262606
31,0.0062889685218596465,0.8974453742985822
32,0.03598494809921794,0.4692532654177093
33,0.0327229071751522,0.5156715365307591
34,-0.020946356514125238,0.6740174192786603
35,0.04935785818172919,0.30965944779620846
36,0.007004352310880949,0.8871217734364905
37,0.02284440232277415,0.6342087393255718
38,-0.015820076323372022,0.7537036250203695
39,-0.0060528239901454315,0.900186371314696
40,0.0444477795854559,0.36134001840190866
41,0.052675997167454046,0.28049781833158094
42,0.02308235386460554,0.6436200875917726
43,0.029609678469216347,0.5496338766314923
44,0.031053349301769225,0.5264210306476844
45,0.052878519371453055,0.2860711341409867
46,0.012251440716195895,0.8048834246774346
47,0.03187866606046241,0.5165719691391324
48,0.00970514505742456,0.8469040119118532
49,0.01837121092971082,0.7093699970577214
50,0.024243474161382627,0.6306871826886637
51,-0.0071559910438970835,0.8831136267144668
52,0.020728887151142582,0.6844843450721081
53,0.009556798526288343,0.8457192254796118
54,0.03808039597871652,0.43675750568729677
55,0.021145861985772563,0.6648639352425163
56,-0.016562487796333018,0.7378669468410779
57,-0.013793564953041104,0.7822697256430002
58,0.0327378682191418,0.5069977998033888
59,0.022334942798271345,0.6555522587462579
60,-0.01911571610701556,0.7096084489573953
61,0.020162634919718852,0.6870609590652159
62,0.03780973085223839,0.44190506137576246
63,-0.029159056325926747,0.5592911985346849
64,0.03459583676464605,0.4791439738869592
65,0.024019572648113063,0.6303200696107081
66,0.007135925254348539,0.8857607404577168
67,-0.004274730737414285,0.9316788154688886
68,0.005922571780987756,0.903700885274126
69,0.021679156452988096,0.66501995804664
70,0.03345768585862692,0.495173330118585
71,0.020175509986742387,0.6863380118529538
72,-0.010453373748260017,0.8329438397392965
73,0.01933318027630446,0.6967466283242387
74,0.010959271147535055,0.8269189360273854
75,0.020020784635314117,0.6796376891159661
76,-0.027501947813002865,0.5893087498661376
77,0.04950330036582795,0.32043266360939393
78,0.045665550270253784,0.3599767410382744
79,-0.014430681374184047,0.7672727775497266
80,0.048029334168454715,0.3393790234464935
81,-0.00653248961136296,0.8920721743324627
82,0.043265397862173025,0.37047513320088776
83,-0.04206610303546952,0.40247053874007044
84,0.02080490439121996,0.6690596979082666
85,-0.023735758467197665,0.6280478408586256
86,0.008957642162183156,0.8549945999168782
87,0.03287130124562662,0.5066856412970606
88,0.07500971240747556,0.13151902246267988
89,0.024122158314030473,0.6273875898752306
90,0.002256434823636648,0.9630856015751372
91,0.017412851411870076,0.7223248284531405
92,-0.0155591789238529,0.7518093295021111
93,0.035338125618040554,0.47408946261723695
94,-0.01564688152743601,0.7532999976675705
95,0.02468020890326125,0.6111714750260953
96,0.008579441286403484,0.8615870713752822
97,0.021439803199312355,0.6650217575421684
98,-0.01451869437812526,0.7653674258293792
99,-0.006914822446730342,0.8889316291870886
100,0.02462568167900145,0.6183983371320072
101,-0.0020097130094984183,0.9667809100000253
102,0.005731070559744138,0.9077063616438035
103,0.017346160613102582,0.7230456781021846
104,0.008136931309949589,0.8668104211839465
105,-0.002941358426923307,0.9520146642299059
106,-0.008114133389188925,0.8716461728604414
107,0.001521443116923419,0.9755522254009483
108,0.0005112114327359584,0.9914669183353633
109,0.01853738738472995,0.7067374381551734
110,0.0012770972830023397,0.9797100634313454
111,0.009914454318422162,0.8387808452453469
112,-0.047038611601266885,0.3447173020135512
113,0.038356058111357234,0.43018148226241726
114,0.029299333290905765,0.5569366496219468
115,0.0113840524479711,0.8133088355071418
116,-0.005192495181583605,0.9150362749789791
117,0.04090545541816044,0.42298753005111567
118,-0.05025721825381292,0.3193732474103934
119,0.05826462132351953,0.23711012719598057
120,0.02037853990882224,0.6796807431592748
121,-0.0013479046579944508,0.9785282930366903
122,0.026051683871882524,0.6047239890393463
123,-0.019655625925051167,0.6988720487383284
124,0.04053047483477722,0.415885929194433
125,0.04357925942745195,0.3791498290295092
126,-0.0008661866308600208,0.9859454936834511
127,-0.017428580321361083,0.7242663266254876
128,0.04653050425264279,0.34942034678459444
129,-0.014530903639728188,0.7660732005812483
130,0.013753325373801601,0.7820343039002073
131,-0.0014447250653742642,0.9773262406195284
132,0.030223234772567036,0.5457521693206062
133,0.014805304331305585,0.7595461981386222
134,-0.002297340010670516,0.9628948294574564
135,-0.03371353244663396,0.5020297058399343
136,0.008437097457503127,0.8609303897652887
137,0.03263783693389438,0.5103613021504421
138,0.027699065345816443,0.56645961304746
139,0.052390164815128655,0.28724545379332644
140,0.04406838316933208,0.37017177424920966
141,0.025055344939975382,0.6097299601802852
142,-0.0025613730802893156,0.9590512892208167
143,-0.02585761400592962,0.6082365085521242
144,0.017857725937131537,0.7167061799575918
145,-0.03801914783642211,0.441595191365763
146,0.0416801064422677,0.4099830291836293
147,-0.0090742302428611,0.8498496993238254
148,0.04208288860289695,0.383447298143895
149,0.03766296162277323,0.44087219781387477
150,0.0027359417728960406,0.9567200524292669
151,-0.03973172855846159,0.408596233723288
152,0.05991560376316154,0.22920180170526328
153,0.03958073733081089,0.44271089758289506
154,0.0401165052572496,0.4185354416613589
155,-0.020545745405658702,0.675330059534692
156,0.01827638997422517,0.7050981663781521
157,0.018379934328185434,0.7173840015338615
158,0.057040687395775815,0.24676029487748563
159,0.04061129309444316,0.4064368488698349
160,-0.0015339337250318218,0.9755200452437274
161,0.03483230642511851,0.4744548680057401
162,0.011828952210335916,0.8095397269426305
163,0.016136348155405218,0.7436589086124963
164,0.041786112390202,0.39624602195290826
165,0.017533071340705038,0.7234577850119923
166,0.01697679823584278,0.7287127095477635
167,-0.02884075472663737,0.5589833407569478
168,0.0033376189295372307,0.9446507726166837
169,-0.005814506282757079,0.9081220297534647
170,-0.02188505197883631,0.6613820506387056
171,0.018907534318614368,0.6956145873143238
172,0.04617094117439383,0.33436285039496827
173,-0.026107279165071235,0.5994378137527272
174,0.023080252811356086,0.6312066517297026
175,-0.013844722697178345,0.7813109590481111
176,0.060123574864903086,0.21986949669366718
177,0.031175384932925966,0.5268968352421519
178,0.04050864429889089,0.4056388488432028
179,-0.02143774015703246,0.6608201002844085
180,0.013332307556105502,0.7862195726860506
181,0.005831246496775237,0.9046457640939045
182,0.048389834085518224,0.32081968969911023
183,-0.006965153490129425,0.8884897765459039
184,0.01219544429318151,0.8072384396771506
185,0.03939791338329914,0.4200467089763844
186,0.01337134258088958,0.7838539325715588
187,0.004826140085475581,0.921290948794736
188,0.022722660050149647,0.6403239519571564
189,0.023121728983964505,0.6393120582510377
190,-0.015249155839910485,0.7539759708828959
191,0.03429190253329125,0.4911463589993461
192,0.05511066750476921,0.25600046857463066
193,0.01095261665550325,0.826136628092375
194,0.020381243337822354,0.6718829780964948
195,-0.004417321820398209,0.9279108618229166
196,0.03528485498392653,0.4710312759669917
197,-0.018242033788976438,0.7081298364293565
198,0.002341106512883435,0.962046055023448
199,-0.030936674621934536,0.5287171075689105
